kanji,on_readings,kun_readings,meanings,jlpt_level,on_count,kun_count,meaning_count
日,ニチ ジツ,ひ -び,"day, sun, Japan",N5,2,2,3
一,イチ イツ ヒト.,ひと-,one,N5,3,1,1
国,コク ク,,country,N5,2,0,1
人,ジン ニン,ひと -り,person,N5,2,2,1
年,ネン ト,,year,N5,2,0,1
大,ダイ タイ -オオ.イ,おお- おお.きい,"large, big",N5,3,2,2
十,ジュウ ジッ ジュッ,とお,ten,N5,3,1,1
二,ニ ジ フタタ.,ふた ふた.つ,two,N5,3,2,1
本,ホン モ,,"book, present, main, true, real, counter for long things",N5,2,0,6
中,チュウ アタ.,なか うち,"in, inside, middle, mean, center",N5,2,2,5
長,チョウ オ,なが.い,"long, leader",N5,2,1,2
出,シュツ スイ イ.ダ,で.る -で だ.す -だ.す い.でる,"exit, leave",N5,3,5,2
三,サン ゾウ ミッ.,み み.つ,three,N5,3,2,1
時,ジ -ド,とき,"time, hour",N5,2,1,2
行,コウ ギョウ アン オコ.ナ,い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う,"going, journey",N5,4,7,2
見,ケン,み.る み.える み.せる,"see, hopes, chances, idea, opinion, look at, visible",N5,1,3,7
月,ゲツ ガツ ツ,,"month, moon",N5,3,0,2
後,ゴ コウ オク.レ,のち うし.ろ うしろ あと,"behind, back, later",N5,3,4,3
前,ゼン -マ,まえ,"in front, before",N5,2,1,2
生,セイ ショウ,い.きる い.かす い.ける う.まれる う.まれ うまれ う.む お.う は.える は.やす き なま なま- な.る,"life, genuine, birth",N5,2,14,3
五,ゴ イツ.,いつ,five,N5,2,1,1
間,カン ケン,あいだ ま あい,"interval, space",N5,2,3,2
上,ジョウ ショウ シャン ヨ.,うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.,"above, up",N5,4,13,2
東,トウ ヒガ,,east,N5,2,0,1
四,シ ヨ,よ よ.つ よっ.つ,four,N5,2,3,1
今,コン キン イ,,now,N5,3,0,1
金,キン コン ゴン -ガ,かね かな-,gold,N5,4,2,1
九,キュウ ク ココノ.,ここの,nine,N5,3,1,1
入,ニュウ ジュ ハイ.,い.る -い.る -い.り い.れる -い.れ,"enter, insert",N5,3,5,2
学,ガク マナ.,,"study, learning, science",N5,2,0,3
高,コウ タカ.メ,たか.い たか -だか たか.まる,"tall, high, expensive",N5,2,4,3
円,エン マロ.ヤ,まる.い まる まど まど.か,"circle, yen, round",N5,2,4,3
子,シ ス ツ,こ -こ,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac",N5,3,2,4
外,ガイ ゲ,そと ほか はず.す はず.れる と,outside,N5,2,5,1
八,ハチ ヨ,や や.つ やっ.つ,eight,N5,2,3,1
六,ロク リク ム,む む.つ むっ.つ,six,N5,3,3,1
下,カ ゲ オ.リ,した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす,"below, down, descend, give, low, inferior",N5,3,11,6
来,ライ タイ,く.る きた.る きた.す き.たす き.たる き,"come, due, next, cause, become",N5,2,6,5
気,キ ケ,いき,"spirit, mind",N5,2,1,2
小,ショウ,ちい.さい こ- お- さ,"little, small",N5,1,4,2
七,シチ ナ,なな なな.つ,seven,N5,2,2,1
山,サン セン ヤ,,mountain,N5,3,0,1
話,ワ,はな.す はなし,"tale, talk",N5,1,2,2
女,ジョ ニョ ニョウ,おんな,"woman, female",N5,3,1,2
北,ホク キ,,north,N5,2,0,1
午,ゴ,うま,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac",N5,1,1,4
百,ヒャク ビャク モ,,hundred,N5,3,0,1
書,ショ -ガ,か.く -が.き,write,N5,2,2,1
先,セン マ.,さき,"before, ahead, previous, future, precedence",N5,2,1,5
名,メイ ミョウ,な,"name, noted, distinguished, reputation",N5,2,1,4
川,セン カ,,"stream, river",N5,2,0,2
千,セン,,thousand,N5,1,0,1
水,スイ,みず みず,water,N5,1,2,1
半,ハン ナカ.,,"half, middle, odd number, semi-, part-",N5,2,0,5
男,ダン ナン,おとこ,male,N5,2,1,1
西,セイ サイ ス ニ,,"west, Spain",N5,4,0,2
電,デン,,electricity,N5,1,0,1
校,コウ キョ,,"exam, school, printing, proof, correction",N5,2,0,5
語,ゴ,かた.る かた.らう,"word, speech, language",N5,1,2,3
土,ド ト ツ,,"soil, earth, ground, Turkey",N5,3,0,4
木,ボク モク,き こ,"tree, wood",N5,2,2,2
聞,ブン モン,き.く き.こえる,"hear, ask, listen",N5,2,2,3
食,ショク ジキ ハ.,く.う く.らう た.べる,"eat, food",N5,3,3,2
車,シャ クル,,car,N5,2,0,1
何,カ,なに なん なに- なん,what,N5,1,4,1
南,ナン ナ ミナ,,south,N5,3,0,1
万,マン バン ヨロ,,ten thousand,N5,3,0,1
毎,マイ -ゴト.,ごと,every,N5,2,1,1
白,ハク ビャク シロ.,しろ しら-,white,N5,3,2,1
天,テン,あまつ あめ あま,"heavens, sky, imperial",N5,1,3,3
母,ボ,はは も,"mama, mother",N5,1,2,2
火,カ,ひ -び ほ-,fire,N5,1,3,1
右,ウ ユウ ミ,,right,N5,3,0,1
読,ドク トク トウ -ヨ.,よ.む,read,N5,4,1,1
友,ユウ ト,,friend,N5,2,0,1
左,サ シャ ヒダ,,left,N5,3,0,1
休,キュウ,やす.む やす.まる やす.める,"rest, day off, retire, sleep",N5,1,3,4
父,フ,ちち,father,N5,1,1,1
雨,ウ,あめ あま- -さめ,rain,N5,1,3,1
会,カイ エ アツ.マ,あ.う あ.わせる,"meeting, meet, party, association, interview, join",N4,3,2,6
同,ドウ,おな.じ,"same, agree, equal",N4,1,1,3
事,ジ ズ ツカ.エ,こと つか.う,"matter, thing, fact, business, reason, possibly",N4,3,2,6
自,ジ シ オノ.ズ,みずか.ら おの.ずから,oneself,N4,3,2,1
社,シャ ヤシ,,"company, firm, office, association, shrine",N4,2,0,5
発,ハツ ホツ ハナ.,た.つ あば.く おこ.る つか.わす,"discharge, departure, publish, emit, start from, disclose",N4,3,4,6
者,シャ,もの,"someone, person",N4,1,1,2
地,チ,,"ground, earth",N4,1,0,2
業,ギョウ ゴウ ワ,,"business, vocation, arts, performance",N4,3,0,4
方,ホウ -ガ,かた -かた,"direction, person, alternative",N4,2,2,3
新,シン,あたら.しい あら.た あら- にい,new,N4,1,4,1
場,ジョウ チョウ,ば,"location, place",N4,2,1,2
員,イ,,"employee, member, number, the one in charge",N4,1,0,4
立,リツ リュウ リットル -ダ.テ,た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て,stand up,N4,4,9,1
開,カイ ア.ケ,ひら.く ひら.き -びら.き ひら.ける あ.く,"open, unfold, unseal",N4,2,5,3
手,シュ ズ,て て- -て た-,hand,N4,2,4,1
力,リョク リキ リイ チカ,,"power, strong, strain, bear up, exert",N4,4,0,5
問,モン ト,と.う と.い,"question, ask, problem",N4,2,2,3
代,ダイ タイ シ,か.わる かわ.る かわ.り -がわ.り か.える よ,"substitute, change, convert, replace, period, age, generation, charge, rate, fee",N4,3,6,10
明,メイ ミョウ ミン ア.カ,あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる,"bright, light",N4,4,9,2
動,ドウ ウゴ.カ,うご.く,"move, motion, change, confusion, shift, shake",N4,2,1,6
京,キョウ ケイ キン ミヤ,,"capital, 10**16",N4,4,0,2
目,モク ボク,め -め ま,"eye, class, look, insight, experience, care, favor",N4,2,3,7
通,ツウ ツ カヨ.,とお.る とお.り -とお.り -どお.り とお.す とお.し -どお.し,"traffic, pass through, avenue, commute, counter for letters",N4,3,7,5
言,ゲン ゴン コ,い.う,say,N4,3,1,1
理,リ コトワ,,"logic, arrangement, reason, justice, truth",N4,2,0,5
体,タイ テイ カタ,からだ,"body, substance, object, reality, counter for images",N4,3,1,5
田,デン,,"rice field, rice paddy",N4,1,0,2
主,シュ ス シュウ アル,ぬし おも,"lord, chief, master, main thing, principal",N4,4,2,5
題,ダイ,,"topic, subject",N4,1,0,2
意,,,"idea, mind, heart, taste, thought, desire, care, liking",N4,0,0,8
不,フ ブ,,"negative, non-, bad, ugly, clumsy",N4,2,0,5
作,サク サ -ヅク.,つく.る つく.り,"make, production, prepare, build",N4,3,2,4
用,ヨウ モチ.イ,,"utilize, business, service, use, employ",N4,2,0,5
度,ド ト タク -タ.,たび,"degrees, occurrence, time, counter for occurrences",N4,4,1,4
強,キョウ ゴウ コワ.,つよ.い つよ.まる つよ.める し.いる,strong,N4,3,4,1
公,コウ ク オオヤ,,"public, prince, official, governmental",N4,3,0,4
持,ジ モ.テ,も.つ -も.ち,"hold, have",N4,2,2,2
野,ヤ ショ,の の,"plains, field, rustic, civilian life",N4,2,2,4
以,イ モッ.,,"by means of, because, in view of, compared with",N4,2,0,4
思,シ,おも.う おもえら.く おぼ.す,think,N4,1,3,1
家,カ ケ ウ,いえ や,"house, home",N4,3,2,2
世,セイ セ ソウ サンジュ,よ,"generation, world, society, public",N4,4,1,4
多,タ,おお.い まさ.に まさ.る,"many, frequent, much",N4,1,3,3
正,セイ ショウ マサ.,ただ.しい ただ.す まさ,"correct, justice, righteous, 10**40",N4,3,3,4
安,アン ヤス.ラ,やす.い やす.まる やす,"relax, cheap, low, quiet, rested, contented, peaceful",N4,2,3,7
院,イン,,"Inst., institution, temple, mansion, school",N4,1,0,5
心,,りっしんべん,"heart, mind, spirit",N4,0,1,3
界,カイ,,world,N4,1,0,1
教,キョウ オソ.ワ,おし.える,"teach, faith, doctrine",N4,2,1,3
文,ブン モン ア,ふみ,"sentence, literature, style, art, decoration, figures, plan",N4,3,1,7
元,ゲン ガン モ,,"beginning, former time, origin",N4,3,0,3
重,ジュウ チョウ オ,え おも.い おも.り おも.なう かさ.ねる かさ.なる,"heavy, heap up, pile up, nest of boxes, -fold",N4,3,6,5
