Unnamed: 0,image_name,speaker,japanese_text,romaji,translation,translation_notes,ocr_confidence,translation_confidence,sentence_count,joined_japanese_text,text_length
3,boo_20250111_221124.png,boo,['おしりあいの石の光、前より弱くなってる'],"['Oshiri ai no ishi no hikari, mae yori yowaku natteru']",['The light from the buttocks stone is getting weaker than before'],This appears to be game dialogue discussing a stone that has some kind of glowing property. The term 'oshiri ai' seems to be referring to a specific stone with 'buttocks' in its name.,1,0.9,1,おしりあいの石の光、前より弱くなってる,19
4,boo_20250111_221346.png,boo,"['おしりあいの石、', '光が消えそう...']","['oshiri ai no ishi,', 'hikari ga kiesou...']","['The friendship stone,', 'its light seems to be fading...']",This appears to be dialogue from a game or visual novel. The term 'おしりあいの石' (oshiri ai no ishi) seems to be referring to some kind of special stone item that represents friendship or connection between characters. The second line expresses concern about its light fading away.,1,0.9,2,おしりあいの石、光が消えそう…,15
0,boo_20250111_215348.png,boo,['友あり、遠方より来たる'],"['tomo ari, enpō yori kitaru']",['Having friends come from afar'],This is a common Japanese saying that expresses the joy of having friends visit from far away. It's similar to the Confucian saying '有朋自遠方來' (having friends come from afar is a delight),1,1,1,友あり、遠方より来たる,11
1,boo_20250111_215546.png,boo,['これ、おしりあいの名'],"['kore, oshiri ai no na']",['This is the name of the butt meeting'],"This appears to be dialogue from what seems like a casual or comedic conversation, possibly from a game or visual novel. The phrase おしりあい (oshiriai) could be a play on words or have contextual meaning not apparent from this single line.",1,0.8,1,これ、おしりあいの名,10
7,boo_20250111_221619.png,boo,['光、消えてる……'],"['hikari, kieteru......']",['The light is disappearing...'],The speaker is making an observation about light fading away or disappearing. The ellipsis (......) suggests a trailing off or contemplative tone.,1,1,1,光、消えてる……,8
2,boo_20250111_215856.png,boo,['いざ、勝負の時'],"['Iza, shoubu no toki']","[""Now, it's time for the showdown""]","This is a common phrase used in Japanese media to indicate the moment of confrontation or competition is about to begin. 'いざ' (iza) adds dramatic emphasis, similar to 'Now!' or 'Here we go!'",1,1,1,いざ、勝負の時,7
6,boo_20250111_221601.png,boo,['いつもの公園...'],['itsumo no kōen...'],['The usual park...'],"The ellipsis (...) suggests a sense of familiarity or routine, implying this is a place frequently visited.",1,1,1,いつもの公園…,7
5,boo_20250111_221405.png,boo,"['帰れなくなる', '']","['kaerenaku naru', '']","['Unable to return home', ""Can't go back""]","This is a common Japanese phrase indicating a situation where someone becomes unable to return or go back, either literally or metaphorically. The なる (naru) indicates a change in state.",1,1,2,帰れなくなる,6
8,boo_20250111_221628.png,boo,['...スミちゃん'],['...Sumi-chan'],['...Sumi-chan'],This appears to be someone referring to or addressing someone named Sumi using the casual/endearing honorific '-chan',1,1,1,…スミちゃん,6
52,buka_20250111_210325.png,buka,"['栄養補給から排泄処理まですべてを', '自動的に制御する、まさに無駄のない', 'パーフェクトなスーツだ！']","['Eiyō hokyū kara haisetsu shori made subete wo', 'jidōteki ni seigyo suru, masani muda no nai', 'pāfekuto na sūtsu da!']","['From nutritional supply to waste processing, everything', 'is automatically controlled, truly without any waste,', ""it's a perfect suit!""]","This appears to be describing some kind of advanced suit or equipment that handles all biological functions automatically. The tone is enthusiastic, as indicated by the exclamation mark.",1,1,3,栄養補給から排泄処理まですべてを自動的に制御する、まさに無駄のないパーフェクトなスーツだ！,45
43,buka_20250111_203941.png,buka,"['んんんんんーッ！！ こ、これは…', 'アカタテハ、ルリタテハ、アサギマダラ', 'コムラサキじゃねぇか…']","['Nnnnnnn-!! Ko, kore wa...', 'Akateha, Ruritateha, Asagimadara', 'Komurasaki janee ka...']","['Hmmmm!! T-this is...', 'Red Admiral, Red-spotted Purple, Chestnut Tiger', ""Isn't that a Japanese Purple...""]",This appears to be someone identifying different species of butterflies. The text uses casual/rough speech patterns as indicated by じゃねぇか (janee ka) instead of じゃないか (janai ka).,1,1,3,んんんんんーッ！！こ、これは…アカタテハ、ルリタテハ、アサギマダラコムラサキじゃねぇか…,44
68,buka_20250111_222850.png,buka,['ダンシャーリ様は考えごとがあると いつも高い場所からこの町を 見下ろすらしいのだ'],['Danshāri-sama wa kangaegoto ga aru to itsumo takai basho kara kono machi wo miorosu rashii no da'],"['It seems whenever Dansharii has something to think about, they always look down upon this town from high places']","The text appears to be dialogue from a game or visual novel, discussing someone's habit of observing a town from elevated locations when contemplative.",1,1,1,ダンシャーリ様は考えごとがあるといつも高い場所からこの町を見下ろすらしいのだ,38
46,buka_20250111_203947.png,buka,"['チョウを愛することぐらい...なぁ', 'おっと、これは感謝のしるしだ...', 'とっといてくれ...']","['Chou wo aisuru koto gurai... naa', 'Otto, kore wa kansha no shirushi da...', 'Tottoite kure...']","['Just loving butterflies... you know', 'Oh, this is a token of gratitude...', 'Please keep it...']","The text appears to be dialogue from a character discussing butterflies and expressing gratitude. The ellipses (...) indicate hesitation or trailing off in speech, which is common in Japanese dialogue.",1,1,3,チョウを愛することぐらい…なぁおっと、これは感謝のしるしだ…とっといてくれ…,38
27,buka_20250111_185446.png,buka,"['礼ならするぜ…だから', 'アカタテハ、ルリタテハ、アサギマダラ', 'コムラサキを頼むよ']","['rei nara suruze... dakara', 'akatataha, ruritataha, asagimadara', 'komurasaki wo tanomu yo']","[""I'll show respect... so"", 'Akatataha, Ruritataha, Asagimadara', ""I'm counting on Komurasaki""]","This appears to be dialogue from a game where the speaker is talking about different types of butterflies (Akatataha, Ruritataha, Asagimadara, and Komurasaki are all names of Japanese butterflies)",1,1,3,礼ならするぜ…だからアカタテハ、ルリタテハ、アサギマダラコムラサキを頼むよ,37
28,buka_20250111_185451.png,buka,"['し、しーーーーッ！！', 'た、頼むよ…こんなことばれたらさ…', '大変なんだから…な？']","['shi, shiiiiii!!', 'ta, tanomu yo... konna koto baretara sa...', 'taihen nan dakara... na?']","['Sh-shhhhhh!!', 'P-please... if this gets found out...', 'It would be really bad, you know?']","The speaker appears to be nervous or anxious about something being discovered, using a hushing sound and pleading tone. The stuttering (し、し and た、) indicates nervousness.",1,1,3,し、しーーーーッ！！た、頼むよ…こんなことばれたらさ…大変なんだから…な？,37
24,buka_20250111_185434.png,buka,"['実は俺、無類のチョウマニアでな...', '仲間からはチョウアニキって...', '呼ばれてんだ...']","['Jitsu wa ore, murui no chou mania de na...', 'Nakama kara wa chou aniki tte...', 'Yobaretenda...']","[""Actually, I'm a hardcore butterfly enthusiast..."", 'My friends call me Butterfly Bro...', ""That's what they call me...""]",This appears to be game dialogue where a character is explaining their passion for butterflies and their nickname. The '...' ellipses suggest a somewhat sheepish or hesitant tone.,1,1,3,実は俺、無類のチョウマニアでな…仲間からはチョウアニキって…呼ばれてんだ…,37
30,buka_20250111_185459.png,buka,"['チョウマニアのおじさんから', '大量のチョウの依頼', 'たくさんつかまえて持っていこう']","['chou mania no ojisan kara', 'tairyou no chou no irai', 'takusan tsukamete motte ikou']","['From the butterfly-obsessed old man', 'A request for lots of butterflies', ""Let's catch many and bring them back""]",This appears to be from a game where the player needs to catch butterflies for a character who loves collecting them. チョウ (chou) means butterfly.,1,1,3,チョウマニアのおじさんから大量のチョウの依頼たくさんつかまえて持っていこう,37
25,buka_20250111_185437.png,buka,"['この町では虫なんてみかけねえだろ…？', 'だからチョウマニアやるのも大変なの…']","['Kono machi de wa mushi nante mikakenee daro...?', 'Dakara chou mania yaru no mo taihen na no...']","[""You don't see any insects in this town, do you...?"", ""That's why it's tough being a butterfly enthusiast...""]","The speaker uses casual/rough speech pattern (ねえ instead of ない). They appear to be lamenting the lack of insects, specifically in relation to their interest in butterflies. The term チョウマニア (chou mania) refers to someone obsessed with or very enthusiastic about butterflies.",1,1,2,この町では虫なんてみかけねえだろ…？だからチョウマニアやるのも大変なの…,36
45,buka_20250111_203945.png,buka,"['大きな声じゃ言えねぇけど...', 'これは無駄なことじゃねぇと...', '俺は思ってるんだ...']","['Ōkina koe ja ieneē kedo...', 'Kore wa muda na koto ja nē to...', 'Ore wa omotteru nda...']","[""I can't say it in a loud voice, but..."", ""I don't think this is meaningless..."", ""That's what I believe...""]","The speaker is using casual/rough speech pattern (～ねぇ instead of ない, おれ for 'I'). The trailing dots (...) indicate hesitation or speaking in a thoughtful manner. The overall tone suggests the speaker is expressing a personal conviction but in a reserved way.",1,1,3,大きな声じゃ言えねぇけど…これは無駄なことじゃねぇと…俺は思ってるんだ…,36
55,buka_20250111_210342.png,buka,"['おお！', 'これがダンシャーリ様が選ばれた無駄ゼロパーフェクトフードか！']","['Oo!', 'Kore ga Dansharii-sama ga erabareta muda zero perfect food ka!']","['Oh!', 'So this is the zero-waste perfect food that Danchari-sama chose!']","ダンシャーリ (Danchari) appears to be a name/title, with the honorific 様 (sama) attached. The term 無駄ゼロ (muda zero) literally means 'zero waste' or 'zero inefficiency'.",1,1,2,おお！これがダンシャーリ様が選ばれた無駄ゼロパーフェクトフードか！,33
42,buka_20250111_203937.png,buka,"['わッ！！', 'し、しーーーーッ！！', 'お、お前ぜったいわざとやってんだろ...']","['Wa!!', 'Shi, shiiiiii!!', 'O, omae zettai waza to yatten daro...']","['Wah!!', 'Sh-shhhhh!!', ""Y-you're definitely doing this on purpose...""]","This appears to be a frustrated or exasperated dialogue, likely from a game or visual novel. The speaker is accusing someone of deliberately doing something annoying, with stuttering speech indicated by repeated characters.",1,1,3,わッ！！し、しーーーーッ！！お、お前ぜったいわざとやってんだろ…,32
